Time(fs),Time_ZINDO(s),Time_LC-DFTB(s),Time_STO-3G(s),Time_3-21G(s),Time_6-31G(s),Time_def2-SVP(s),Time_def2-TZVP(s),Time_def2-QZVP(s)
0,0.017617,0.26,0.413083,0.457733,0.724283,1.014317,3.665817,20.003817
1,0.0194,0.3,0.401633,,,,,
2,0.015983,0.3,0.38225,0.434667,,,,
3,0.018833,0.26,0.40985,,,,,
4,0.015933,0.25,0.39665,0.4297,0.655683,,,
5,0.017067,0.25,0.409,,,,,
6,0.017933,0.25,0.431317,0.405067,,,,
7,0.01655,0.26,0.4201,,,,,
8,0.018733,0.26,0.4303,0.403567,0.642083,0.9973,,
9,0.01985,0.26,0.413317,,,,,
10,0.01955,0.26,0.4107,0.415267,,,,
11,0.019483,0.26,0.43295,,,,,
12,0.01975,0.26,0.42035,0.40605,0.611067,,,
13,0.0193,0.26,0.420833,,,,,
14,0.018417,0.26,0.398717,0.461533,,,,
15,0.019383,0.27,0.383933,,,,,
16,0.015183,0.26,0.406767,0.400433,0.652283,1.042233,3.641967,
17,0.022983,0.26,0.43115,,,,,
18,0.021567,0.26,0.40935,0.436983,,,,
19,0.019983,0.26,0.41,,,,,
20,0.017583,0.26,0.397167,0.436833,0.617233,,,
21,0.01875,0.26,0.409467,,,,,
22,0.0199,0.26,0.3843,0.406233,,,,
23,0.01615,0.25,0.384083,,,,,
24,0.017167,0.26,0.3989,0.419267,0.605367,1.003033,,
25,0.01825,0.25,0.393717,,,,,
26,0.02065,0.25,0.411233,0.416783,,,,
27,0.016967,0.26,0.40165,,,,,
28,0.01525,0.26,0.38195,0.4058,0.622433,,,
29,0.016567,0.26,0.369733,,,,,
30,0.019217,0.26,0.368767,0.411333,,,,
31,0.01615,0.25,0.38645,,,,,
32,0.016633,0.26,0.412617,0.406083,0.645883,0.9665,3.53465,20.5442
33,0.018583,0.25,0.424483,,,,,
34,0.018133,0.25,0.419133,0.451117,,,,
35,0.017717,0.25,0.398467,,,,,
36,0.019533,0.25,0.386183,0.459017,0.615467,,,
37,0.021617,0.26,0.417867,,,,,
38,0.0201,0.26,0.417417,0.439867,,,,
39,0.019083,0.26,0.4067,,,,,
40,0.020467,0.26,0.421383,0.420333,0.617633,1.0141,,
41,0.019883,0.26,0.386733,,,,,
42,0.018017,0.26,0.432767,0.405,,,,
43,0.018883,0.26,0.425483,,,,,
44,0.0204,0.26,0.424533,0.42155,0.637867,,,
45,0.01735,0.25,0.39445,,,,,
46,0.020133,0.25,0.384717,0.422683,,,,
47,0.018133,0.24,0.38995,,,,,
48,0.017417,0.26,0.397467,0.419317,0.630017,0.957833,3.515583,
49,0.017167,0.25,0.383333,,,,,
50,0.018583,0.26,0.398733,0.44005,,,,
51,0.01685,0.26,0.429617,,,,,
52,0.018783,0.26,0.40385,0.404717,0.663883,,,
53,0.016867,0.27,0.4084,,,,,
54,0.018,0.26,0.396517,0.45745,,,,
55,0.017167,0.26,0.397883,,,,,
56,0.0189,0.27,0.412883,0.438983,0.612467,1.032883,,
57,0.01925,0.26,0.401017,,,,,
58,0.0193,0.26,0.419883,0.444417,,,,
59,0.019667,0.26,0.41395,,,,,
60,0.018317,0.25,0.407333,0.40635,0.6387,,,
61,0.017133,0.26,0.40325,,,,,
62,0.01885,0.25,0.388517,0.416117,,,,
63,0.018433,0.25,0.410733,,,,,
64,0.01955,0.24,0.404733,0.4134,0.65365,1.1657,3.649017,21.3356
65,0.0174,0.26,0.41055,,,,,
66,0.01705,0.25,0.404883,0.425833,,,,
67,0.017,0.25,0.402633,,,,,
68,0.01595,0.25,0.41765,0.44225,0.61825,,,
69,0.017533,0.26,0.444417,,,,,
70,0.017733,0.26,0.398817,0.415583,,,,
71,0.018283,0.27,0.388133,,,,,
72,0.01735,0.26,0.413533,0.412233,0.641917,1.0046,,
73,0.0194,0.26,0.4018,,,,,
74,0.01825,0.26,0.406167,0.461433,,,,
75,0.01915,0.26,0.394,,,,,
76,0.02035,0.26,0.40615,0.444133,0.6498,,,
77,0.018367,0.26,0.385283,,,,,
78,0.01845,0.25,0.39805,0.414233,,,,
79,0.021383,0.27,0.393567,,,,,
80,0.0193,0.25,0.397183,0.4058,0.618333,1.033417,3.520833,
81,0.019083,0.26,0.412017,,,,,
82,0.016917,0.25,0.403733,0.417217,,,,
83,0.018717,0.24,0.400533,,,,,
84,0.019967,0.25,0.4151,0.413717,0.653033,,,
85,0.018367,0.26,0.417333,,,,,
86,0.0193,0.25,0.3836,0.406667,,,,
87,0.02005,0.26,0.394533,,,,,
88,0.020083,0.26,0.3909,0.439533,0.61535,1.009967,,
89,0.017883,0.26,0.3984,,,,,
90,0.016183,0.26,0.426,0.444567,,,,
91,0.018883,0.26,0.415617,,,,,
92,0.017667,0.26,0.390483,0.448717,0.616317,,,
93,0.01795,0.26,0.411883,,,,,
94,0.019783,0.26,0.41465,0.460183,,,,
95,0.019383,0.26,0.3874,,,,,
96,0.017667,0.26,0.3815,0.42695,0.668217,1.004683,3.52015,19.361183
97,0.0185,0.26,0.417933,,,,,
98,0.02065,0.26,0.4135,0.42925,,,,
99,0.0189,0.26,0.426133,,,,,
100,0.018933,0.26,0.4143,0.432767,0.623917,,,
101,0.018483,0.26,0.399517,,,,,
102,0.0199,0.26,0.4087,0.406067,,,,
103,0.016533,0.25,0.413283,,,,,
104,0.018767,0.26,0.378933,0.4197,0.626033,1.017517,,
105,0.016967,0.25,0.406983,,,,,
106,0.019417,0.25,0.4123,0.429983,,,,
107,0.016617,0.26,0.449967,,,,,
108,0.0194,0.26,0.419117,0.422683,0.659167,,,
109,0.0161,0.26,0.420917,,,,,
110,0.01875,0.26,0.41485,0.4375,,,,
111,0.018533,0.26,0.390167,,,,,
112,0.017167,0.27,0.398333,0.4428,0.611583,0.9913,3.291083,
113,0.015383,0.26,0.412417,,,,,
114,0.0179,0.26,0.3861,0.4509,,,,
115,0.0173,0.26,0.4114,,,,,
116,0.017583,0.26,0.417267,0.41895,0.6223,,,
117,0.019267,0.26,0.42645,,,,,
118,0.017233,0.25,0.409133,0.414233,,,,
119,0.017933,0.26,0.4212,,,,,
120,0.018483,0.25,0.407533,0.423867,0.648583,1.117717,,
121,0.01915,0.25,0.40045,,,,,
122,0.018083,0.25,0.383683,0.4207,,,,
123,0.017433,0.25,0.41885,,,,,
124,0.016833,0.26,0.4145,0.4412,0.64335,,,
125,0.020183,0.26,0.40445,,,,,
126,0.018333,0.26,0.400167,0.436467,,,,
127,0.019067,0.26,0.429533,,,,,
128,0.0173,0.26,0.42955,0.44485,0.677517,1.0341,3.65235,19.954467
129,0.017767,0.26,0.4179,,,,,
130,0.019217,0.26,0.405,0.434833,,,,
131,0.018667,0.26,0.393267,,,,,
132,0.017967,0.26,0.387267,0.446033,0.639483,,,
133,0.01565,0.26,0.4014,,,,,
134,0.020717,0.24,0.40985,0.44655,,,,
135,0.01935,0.25,0.402183,,,,,
136,0.016367,0.26,0.411217,0.414233,0.654967,1.01205,,
137,0.0181,0.26,0.444717,,,,,
138,0.019167,0.26,0.442283,0.456017,,,,
139,0.019283,0.26,0.45245,,,,,
140,0.017383,0.26,0.409567,0.410267,0.634417,,,
141,0.020033,0.26,0.390933,,,,,
142,0.016117,0.26,0.39865,0.4138,,,,
143,0.016783,0.27,0.390467,,,,,
144,0.016683,0.26,0.384467,0.453217,0.65865,0.989983,3.5224,
145,0.01895,0.26,0.401367,,,,,
146,0.0196,0.26,0.461783,0.466917,,,,
147,0.018117,0.26,0.442633,,,,,
148,0.018133,0.26,0.40875,0.45215,0.624933,,,
149,0.020167,0.26,0.41155,,,,,
150,0.01895,0.26,0.4081,0.4509,,,,
151,0.019067,0.26,0.387317,,,,,
152,0.018283,0.26,0.39885,0.440533,0.6416,1.033917,,
153,0.01645,0.26,0.401467,,,,,
154,0.016067,0.25,0.402833,0.409683,,,,
155,0.01805,0.25,0.403883,,,,,
156,0.017717,0.26,0.405617,0.416383,0.644067,,,
157,0.019017,0.26,0.4126,,,,,
158,0.018117,0.26,0.40275,0.408033,,,,
159,0.020683,0.26,0.396417,,,,,
160,0.021917,0.26,0.412517,0.418617,0.65995,0.986333,3.517717,19.336733
161,0.020833,0.25,0.400917,,,,,
162,0.020233,0.26,0.393183,0.4175,,,,
163,0.018467,0.26,0.390033,,,,,
164,0.01915,0.26,0.404617,0.470417,0.6626,,,
165,0.01635,0.26,0.40555,,,,,
166,0.018017,0.26,0.418217,0.444967,,,,
167,0.019333,0.26,0.387983,,,,,
168,0.0201,0.26,0.400167,0.4467,0.6197,1.018267,,
169,0.020333,0.26,0.4131,,,,,
170,0.017633,0.26,0.396483,0.4143,,,,
171,0.020883,0.26,0.414517,,,,,
172,0.01605,0.26,0.409067,0.40625,0.624017,,,
173,0.017767,0.26,0.395633,,,,,
174,0.0173,0.26,0.382483,0.43315,,,,
175,0.018483,0.26,0.397717,,,,,
176,0.01785,0.26,0.405817,0.401783,0.65165,1.064017,3.647433,
177,0.0213,0.24,0.39775,,,,,
178,0.01765,0.25,0.4005,0.40805,,,,
179,0.017833,0.25,0.43115,,,,,
180,0.0216,0.25,0.420167,0.416883,0.6277,,,
181,0.0229,0.26,0.392083,,,,,
182,0.020433,0.26,0.412783,0.422033,,,,
183,0.02205,0.26,0.410233,,,,,
184,0.018067,0.26,0.417467,0.450067,0.6934,1.021317,,
185,0.016883,0.27,0.42335,,,,,
186,0.019317,0.26,0.3861,0.466467,,,,
187,0.021833,0.26,0.386067,,,,,
188,0.019283,0.26,0.419883,0.474,0.680383,,,
189,0.020417,0.26,0.391033,,,,,
190,0.0184,0.26,0.411083,0.439267,,,,
191,0.019067,0.26,0.4032,,,,,
192,0.0228,0.26,0.408733,0.431867,0.620517,0.982033,3.284983,19.373733
193,0.023833,0.26,0.419733,,,,,
194,0.018667,0.25,0.392383,0.435867,,,,
195,0.0222,0.24,0.410017,,,,,
196,0.019483,0.24,0.384133,0.3999,0.613567,,,
197,0.018717,0.24,0.39645,,,,,
198,0.019917,0.25,0.419333,0.412717,,,,
199,0.02,0.26,0.424167,,,,,
200,0.019283,0.26,0.460467,0.437383,0.6709,1.05655,,
201,0.020617,0.26,0.41425,,,,,
202,0.019533,0.27,0.439733,0.443583,,,,
203,0.01885,0.26,0.412633,,,,,
204,0.019433,0.26,0.4157,0.40575,0.610283,,,
205,0.018417,0.26,0.408067,,,,,
206,0.019167,0.26,0.39465,0.405267,,,,
207,0.017617,0.26,0.382333,,,,,
208,0.017483,0.26,0.39775,0.4411,0.69285,1.029183,3.293117,
209,0.02005,0.26,0.405167,,,,,
210,0.019433,0.26,0.388767,0.448867,,,,
211,0.017083,0.26,0.411317,,,,,
212,0.02035,0.25,0.43615,0.403283,0.622183,,,
213,0.019933,0.26,0.414983,,,,,
214,0.017,0.26,0.399333,0.420233,,,,
215,0.017433,0.26,0.387083,,,,,
216,0.020467,0.25,0.41935,0.406833,0.617917,1.051367,,
217,0.018883,0.24,0.41595,,,,,
218,0.0218,0.26,0.417117,0.406367,,,,
219,0.0174,0.27,0.4065,,,,,
220,0.0169,0.26,0.4137,0.407,0.649467,,,
221,0.022817,0.26,0.413117,,,,,
222,0.0167,0.26,0.409067,0.440083,,,,
223,0.01775,0.26,0.41155,,,,,
224,0.016883,0.26,0.39325,0.44775,0.694983,1.00305,3.287767,20.056033
225,0.018217,0.26,0.389017,,,,,
226,0.026817,0.26,0.404233,0.467483,,,,
227,0.024483,0.26,0.407783,,,,,
228,0.0233,0.26,0.406283,0.438983,0.676833,,,
229,0.020567,0.26,0.407617,,,,,
230,0.01775,0.26,0.402217,0.420633,,,,
231,0.0173,0.26,0.4258,,,,,
232,0.0218,0.26,0.397017,0.426433,0.64235,0.9767,,
233,0.023383,0.26,0.389783,,,,,
234,0.020983,0.26,0.413667,0.41215,,,,
235,0.019683,0.26,0.409667,,,,,
236,0.0177,0.25,0.40365,0.420283,0.6235,,,
237,0.019517,0.26,0.385967,,,,,
238,0.018483,0.26,0.381433,0.405617,,,,
239,0.018267,0.26,0.381083,,,,,
240,0.015217,0.27,0.400533,0.434683,0.657183,0.981483,3.522133,
241,0.015883,0.25,0.395733,,,,,
242,0.01545,0.26,0.404483,0.451967,,,,
243,0.017633,0.26,0.389067,,,,,
244,0.02025,0.25,0.400933,0.44455,0.68405,,,
245,0.017233,0.26,0.399583,,,,,
246,0.01765,0.26,0.409467,0.442417,,,,
247,0.018617,0.26,0.403467,,,,,
248,0.0186,0.26,0.405883,0.42945,0.628267,1.017017,,
249,0.02085,0.26,0.38725,,,,,
250,0.015567,0.26,0.423567,0.44105,,,,
251,0.021133,0.26,0.4343,,,,,
252,0.020633,0.25,0.392467,0.439133,0.647633,,,
253,0.0226,0.25,0.40675,,,,,
254,0.019583,0.25,0.404483,0.420833,,,,
255,0.022783,0.26,0.413267,,,,,
256,0.021833,0.26,0.4032,0.435117,0.633733,0.97155,3.284,19.368733
257,0.019617,0.25,0.3893,,,,,
258,0.0193,0.26,0.38395,0.43515,,,,
259,0.0169,0.26,0.385983,,,,,
260,0.020033,0.26,0.3765,0.441217,0.628117,,,
261,0.0208,0.26,0.400317,,,,,
262,0.018933,0.26,0.413967,0.439933,,,,
263,0.020233,0.26,0.41385,,,,,
264,0.018117,0.26,0.40805,0.4282,0.660367,1.026517,,
265,0.021717,0.26,0.4054,,,,,
266,0.017633,0.26,0.427433,0.4381,,,,
267,0.0191,0.26,0.404917,,,,,
268,0.018483,0.25,0.419117,0.40675,0.631033,,,
269,0.0153,0.25,0.3915,,,,,
270,0.02085,0.26,0.40145,0.4349,,,,
271,0.0168,0.24,0.40755,,,,,
272,0.019067,0.25,0.412533,0.409133,0.670183,1.132217,3.657183,
273,0.019483,0.25,0.38555,,,,,
274,0.019183,0.26,0.409083,0.45295,,,,
275,0.019467,0.27,0.434183,,,,,
276,0.01725,0.26,0.40075,0.4152,0.6339,,,
277,0.021217,0.26,0.400967,,,,,
278,0.018433,0.27,0.418067,0.4498,,,,
279,0.017167,0.26,0.39885,,,,,
280,0.019017,0.26,0.38795,0.478383,0.648733,1.032333,,
281,0.015967,0.26,0.412983,,,,,
282,0.01605,0.26,0.411667,0.433683,,,,
283,0.018517,0.27,0.401767,,,,,
284,0.0189,0.26,0.42485,0.431333,0.660183,,,
285,0.0206,0.26,0.420983,,,,,
286,0.021,0.26,0.398933,0.454117,,,,
287,0.0184,0.26,0.405433,,,,,
288,0.020683,0.26,0.40705,0.413133,0.61875,0.988017,3.638167,19.8977
289,0.017933,0.26,0.38925,,,,,
290,0.017417,0.24,0.384117,0.407083,,,,
291,0.018317,0.25,0.389983,,,,,
292,0.0191,0.25,0.40305,0.413567,0.6189,,,
293,0.01945,0.27,0.404983,,,,,
294,0.019667,0.32,0.405,0.4238,,,,
295,0.017933,0.29,0.43645,,,,,
296,0.018983,0.26,0.404617,0.432033,0.6698,0.99295,,
297,0.0191,0.26,0.397083,,,,,
298,0.02205,0.26,0.408267,0.45235,,,,
299,0.019667,0.25,0.388933,,,,,
300,0.016817,0.25,0.402783,0.4341,0.654817,,,
301,0.02125,0.25,0.41145,,,,,
302,0.020967,0.26,0.401117,0.409033,,,,
303,0.017967,0.26,0.412933,,,,,
304,0.018067,0.26,0.407267,0.409767,0.6628,1.04025,3.656967,
305,0.022017,0.26,0.3915,,,,,
306,0.020033,0.25,0.391433,0.414283,,,,
307,0.020467,0.25,0.38795,,,,,
308,0.016717,0.25,0.3841,0.41,0.6735,,,
309,0.022217,0.24,0.4215,,,,,
310,0.01965,0.25,0.404967,0.429117,,,,
311,0.020267,0.26,0.387217,,,,,
312,0.017917,0.26,0.430267,0.40345,0.630533,1.069917,,
313,0.024633,0.26,0.42645,,,,,
314,0.021483,0.26,0.414033,0.42045,,,,
315,0.021483,0.27,0.390933,,,,,
316,0.016467,0.26,0.3917,0.4699,0.659417,,,
317,0.0207,0.26,0.396483,,,,,
318,0.0174,0.26,0.417167,0.433233,,,,
319,0.025717,0.26,0.401867,,,,,
320,0.019267,0.26,0.428033,0.411617,0.640933,1.007417,3.65305,20.22335
321,0.0206,0.27,0.400783,,,,,
322,0.018183,0.26,0.38015,0.410217,,,,
323,0.019833,0.25,0.3811,,,,,
324,0.017517,0.26,0.36305,0.42865,0.647533,,,
325,0.023517,0.26,0.40375,,,,,
326,0.0187,0.26,0.389283,0.429633,,,,
327,0.018717,0.25,0.422033,,,,,
328,0.01915,0.24,0.41645,0.409433,0.66755,1.028417,,
329,0.018533,0.25,0.407817,,,,,
330,0.019633,0.26,0.40695,0.420767,,,,
331,0.02035,0.25,0.402883,,,,,
332,0.016617,0.26,0.409233,0.4199,0.616883,,,
333,0.01905,0.26,0.39965,,,,,
334,0.0169,0.26,0.38645,0.428483,,,,
335,0.020117,0.26,0.4141,,,,,
336,0.018267,0.26,0.39845,0.4145,0.6215,1.04515,3.64575,
337,0.020017,0.26,0.413867,,,,,
338,0.019883,0.26,0.415383,0.410067,,,,
339,0.016333,0.26,0.414617,,,,,
340,0.018217,0.26,0.4099,0.425833,0.6092,,,
341,0.018933,0.26,0.391933,,,,,
342,0.018817,0.26,0.397817,0.450733,,,,
343,0.020483,0.26,0.404867,,,,,
344,0.02035,0.26,0.38745,0.415067,0.631517,0.976083,,
345,0.0229,0.25,0.391333,,,,,
346,0.019883,0.25,0.397867,0.423183,,,,
347,0.01705,0.25,0.417083,,,,,
348,0.014667,0.25,0.406267,0.415067,0.61035,,,
349,0.01655,0.25,0.407683,,,,,
350,0.017467,0.24,0.417117,0.424917,,,,
351,0.0197,0.26,0.412517,,,,,
352,0.021567,0.27,0.419717,0.438233,0.65245,1.04425,3.397133,19.7162
353,0.02095,0.25,0.408067,,,,,
354,0.017967,0.26,0.38585,0.41795,,,,
355,0.020767,0.26,0.42295,,,,,
356,0.0174,0.27,0.412367,0.455383,0.682533,,,
357,0.02275,0.26,0.425383,,,,,
358,0.0226,0.26,0.406883,0.46435,,,,
359,0.016467,0.26,0.400967,,,,,
360,0.0217,0.25,0.423033,0.44185,0.6438,1.0476,,
361,0.019267,0.26,0.4131,,,,,
362,0.019883,0.25,0.378783,0.437217,,,,
363,0.020317,0.26,0.394617,,,,,
364,0.0212,0.25,0.37185,0.411633,0.627217,,,
365,0.018933,0.24,0.381383,,,,,
366,0.018433,0.26,0.44495,0.409417,,,,
367,0.019183,0.25,0.393417,,,,,
368,0.018233,0.25,0.4077,0.418717,0.6688,1.082967,3.636717,
369,0.019667,0.26,0.412567,,,,,
370,0.018333,0.26,0.412383,0.413167,,,,
371,0.0155,0.26,0.4304,,,,,
372,0.017183,0.26,0.392133,0.419617,0.630867,,,
373,0.02175,0.26,0.363067,,,,,
374,0.019367,0.26,0.407217,0.422,,,,
375,0.016133,0.26,0.387083,,,,,
376,0.022017,0.26,0.388517,0.425183,0.633167,0.997533,,
377,0.025,0.26,0.414617,,,,,
378,0.02035,0.26,0.407217,0.4401,,,,
379,0.020417,0.26,0.404133,,,,,
380,0.020667,0.25,0.4076,0.447817,0.630933,,,
381,0.018,0.26,0.385583,,,,,
382,0.01735,0.26,0.389133,0.436367,,,,
383,0.01915,0.26,0.39925,,,,,
384,0.0237,0.25,0.422533,0.412783,0.65865,1.053867,3.633367,20.012567
385,0.019933,0.24,0.4456,,,,,
386,0.020333,0.26,0.455783,0.430167,,,,
387,0.022267,0.26,0.4005,,,,,
388,0.017833,0.26,0.40175,0.430033,0.644483,,,
389,0.017767,0.26,0.37915,,,,,
390,0.0185,0.26,0.39465,0.4584,,,,
391,0.018167,0.25,0.38735,,,,,
392,0.019467,0.26,0.4131,0.435783,0.632933,0.959383,,
393,0.0195,0.26,0.409367,,,,,
394,0.016333,0.26,0.4159,0.4034,,,,
395,0.019067,0.26,0.403517,,,,,
396,0.02055,0.26,0.39425,0.412567,0.634867,,,
397,0.018133,0.26,0.382367,,,,,
398,0.019417,0.26,0.385867,0.445383,,,,
399,0.021317,0.26,0.40985,,,,,
400,0.015933,0.26,0.409717,0.402533,0.6268,1.006433,3.630483,
401,0.0222,0.26,0.418133,,,,,
402,0.02,0.26,0.40035,0.407283,,,,
403,0.021283,0.25,0.431067,,,,,
404,0.020767,0.26,0.397683,0.41525,0.628833,,,
405,0.017333,0.26,0.38765,,,,,
406,0.018317,0.24,0.383517,0.429617,,,,
407,0.020433,0.26,0.3895,,,,,
408,0.0177,0.25,0.3958,0.460217,0.654633,1.003517,,
409,0.020783,0.26,0.430883,,,,,
410,0.017267,0.26,0.4332,0.421633,,,,
411,0.017933,0.26,0.402617,,,,,
412,0.02485,0.26,0.414817,0.456,0.654517,,,
413,0.021367,0.26,0.429983,,,,,
414,0.019583,0.26,0.44155,0.433783,,,,
415,0.0159,0.26,0.405667,,,,,
416,0.016233,0.26,0.400867,0.427817,0.6158,0.991317,3.65155,21.34125
417,0.016733,0.27,0.397683,,,,,
418,0.022117,0.25,0.389283,0.437267,,,,
419,0.02165,0.26,0.408383,,,,,
420,0.02195,0.26,0.405033,0.41685,0.611583,,,
421,0.019567,0.26,0.400833,,,,,
422,0.015867,0.24,0.410667,0.4174,,,,
423,0.018033,0.25,0.397483,,,,,
424,0.019083,0.26,0.4296,0.41455,0.628367,1.020333,,
425,0.016533,0.26,0.3803,,,,,
426,0.016667,0.26,0.416833,0.435983,,,,
427,0.018867,0.26,0.397217,,,,,
428,0.017233,0.26,0.397733,0.414683,0.654183,,,
429,0.019883,0.26,0.400967,,,,,
430,0.019733,0.26,0.40235,0.405,,,,
431,0.017183,0.26,0.4199,,,,,
432,0.019617,0.26,0.412383,0.462433,0.646,1.000317,3.625933,
433,0.016667,0.26,0.404517,,,,,
434,0.016233,0.26,0.414533,0.431567,,,,
435,0.018517,0.26,0.41455,,,,,
436,0.020017,0.26,0.41045,0.4411,0.636217,,,
437,0.0174,0.26,0.3992,,,,,
438,0.018767,0.25,0.374983,0.430717,,,,
439,0.019217,0.25,0.3732,,,,,
440,0.019267,0.26,0.417167,0.423067,0.61835,1.047333,,
441,0.019683,0.24,0.40055,,,,,
442,0.016833,0.26,0.406767,0.4061,,,,
443,0.02115,0.24,0.43855,,,,,
444,0.0219,0.25,0.427167,0.4215,0.65785,,,
445,0.020917,0.26,0.40505,,,,,
446,0.020733,0.26,0.383,0.411,,,,
447,0.020283,0.26,0.387033,,,,,
448,0.021483,0.25,0.41025,0.4118,0.626767,0.999133,3.641417,19.997217
449,0.018517,0.26,0.401367,,,,,
450,0.015967,0.26,0.40645,0.450617,,,,
451,0.018683,0.26,0.432267,,,,,
452,0.021283,0.25,0.405683,0.4505,0.704383,,,
453,0.018433,0.26,0.393433,,,,,
454,0.018783,0.26,0.391733,0.43225,,,,
455,0.019533,0.26,0.396333,,,,,
456,0.0183,0.26,0.388833,0.45275,0.62445,0.9953,,
457,0.018133,0.26,0.39635,,,,,
458,0.015033,0.25,0.4115,0.428517,,,,
459,0.01755,0.24,0.418467,,,,,
460,0.01795,0.25,0.3975,0.41915,0.625617,,,
461,0.019333,0.25,0.407967,,,,,
462,0.020133,0.26,0.413767,0.428083,,,,
463,0.017683,0.26,0.379317,,,,,
464,0.0206,0.25,0.38,0.456517,0.613967,1.009917,3.603683,
465,0.018017,0.26,0.42835,,,,,
466,0.023267,0.26,0.401633,0.442017,,,,
467,0.01745,0.26,0.410817,,,,,
468,0.01735,0.26,0.422567,0.4459,0.71915,,,
469,0.01965,0.27,0.401533,,,,,
470,0.022317,0.26,0.3886,0.439067,,,,
471,0.01955,0.26,0.383467,,,,,
472,0.0195,0.26,0.369067,0.456267,0.62755,1.014283,,
473,0.022517,0.26,0.385583,,,,,
474,0.019833,0.26,0.4094,0.445983,,,,
475,0.021067,0.26,0.423483,,,,,
476,0.017867,0.26,0.420267,0.44565,0.616183,,,
477,0.0194,0.25,0.405383,,,,,
478,0.0169,0.25,0.399267,0.4301,,,,
479,0.018533,0.25,0.412567,,,,,
480,0.022733,0.25,0.404617,0.4276,0.615683,1.137133,3.653817,21.344683
481,0.01575,0.25,0.4125,,,,,
482,0.018383,0.25,0.40925,0.412167,,,,
483,0.0212,0.26,0.388567,,,,,
484,0.01955,0.26,0.42135,0.449517,0.634283,,,
485,0.01985,0.26,0.3936,,,,,
486,0.020433,0.26,0.401467,0.44765,,,,
487,0.02145,0.26,0.400833,,,,,
488,0.020733,0.26,0.395017,0.411467,0.6257,1.00145,,
489,0.01625,0.26,0.41045,,,,,
490,0.01805,0.26,0.3987,0.416533,,,,
491,0.0189,0.27,0.41655,,,,,
492,0.018033,0.26,0.38165,0.430267,0.626417,,,
493,0.0185,0.26,0.412067,,,,,
494,0.021,0.26,0.408383,0.450483,,,,
495,0.015717,0.25,0.424567,,,,,
496,0.019533,0.26,0.428033,0.411267,0.670867,1.0629,3.652783,
497,0.021033,0.25,0.4105,,,,,
498,0.018067,0.24,0.406417,0.415433,,,,
499,0.020483,0.24,0.41875,,,,,
500,0.0176,0.25,0.411267,0.430683,0.625267,,,
501,0.018433,0.26,0.382433,,,,,
502,0.016017,0.25,0.4133,0.405583,,,,
503,0.018717,0.25,0.373933,,,,,
504,0.01825,0.26,0.381117,0.452133,0.608,0.98055,,
505,0.018133,0.26,0.389983,,,,,
506,0.01595,0.26,0.38135,0.452383,,,,
507,0.018367,0.27,0.400317,,,,,
508,0.024783,0.26,0.414683,0.441083,0.681433,,,
509,0.0214,0.26,0.419883,,,,,
510,0.018933,0.26,0.417967,0.450533,,,,
511,0.020367,0.26,0.404617,,,,,
512,0.02135,0.26,0.404183,0.456417,0.655033,1.02945,3.65365,21.219317
513,0.019617,0.26,0.4294,,,,,
514,0.022683,0.25,0.450717,0.426167,,,,
515,0.01875,0.26,0.432867,,,,,
516,0.02175,0.24,0.406217,0.4082,0.6149,,,
517,0.019133,0.27,0.426017,,,,,
518,0.0168,0.26,0.40195,0.418067,,,,
519,0.0166,0.25,0.407667,,,,,
520,0.020567,0.26,0.41845,0.415217,0.665817,0.966667,,
521,0.017633,0.26,0.396417,,,,,
522,0.016583,0.26,0.3749,0.41625,,,,
523,0.021267,0.26,0.376933,,,,,
524,0.02315,0.26,0.3873,0.4419,0.622667,,,
525,0.025767,0.26,0.405783,,,,,
526,0.02245,0.26,0.3827,0.43375,,,,
527,0.018817,0.26,0.383767,,,,,
528,0.020567,0.26,0.384867,0.422267,0.619683,1.06365,3.622283,
529,0.015183,0.26,0.393417,,,,,
530,0.017533,0.27,0.410917,0.456433,,,,
531,0.015883,0.26,0.41795,,,,,
532,0.021383,0.26,0.40195,0.415983,0.648633,,,
533,0.018917,0.26,0.39515,,,,,
534,0.021917,0.25,0.4249,0.410717,,,,
535,0.01865,0.25,0.416017,,,,,
536,0.02125,0.25,0.374283,0.403183,0.627883,0.989733,,
537,0.018317,0.26,0.367467,,,,,
538,0.017317,0.25,0.4233,0.453867,,,,
539,0.0223,0.26,0.402233,,,,,
540,0.0195,0.26,0.4341,0.449533,0.6488,,,
541,0.0219,0.26,0.433417,,,,,
542,0.020717,0.25,0.445233,0.431067,,,,
543,0.017917,0.26,0.4229,,,,,
544,0.019483,0.26,0.400383,0.405967,0.634317,0.98635,3.64965,20.119167
545,0.018333,0.26,0.402767,,,,,
546,0.019083,0.26,0.42505,0.439867,,,,
547,0.019467,0.26,0.421,,,,,
548,0.016033,0.26,0.415583,0.404367,0.645267,,,
549,0.020683,0.26,0.417683,,,,,
550,0.0193,0.26,0.389467,0.428833,,,,
551,0.019283,0.26,0.441767,,,,,
552,0.016733,0.26,0.401233,0.424933,0.61085,0.973083,,
553,0.020983,0.25,0.413783,,,,,
554,0.01825,0.26,0.388867,0.435333,,,,
555,0.01845,0.24,0.392817,,,,,
556,0.022033,0.25,0.396383,0.4067,0.65895,,,
557,0.022083,0.24,0.431483,,,,,
558,0.01945,0.26,0.422617,0.403617,,,,
