Time(fs),ZINDO,LC-DFTB,STO-3G,3-21G,6-31G,def2-SVP,def2-TZVP,def2-QZVP
1609,4.669803,6.029605,6.531716,,,,,
1610,4.679218,6.048187,6.546845,5.812763,,,,
1611,4.688851,6.066713,6.561539,,,,,
1612,4.698103,6.084041,6.574519,5.834886,5.74634,,,
1613,4.706212,6.09907,6.585404,,,,,
1614,4.712579,6.110936,6.59373,5.849444,,,,
1615,4.716688,6.118944,6.599227,,,,,
1616,4.718729,6.123356,6.602411,5.855866,5.766667,5.646529,5.545384,
1617,4.719219,6.124942,6.604261,,,,,
1618,4.718729,6.124412,6.605023,5.857989,,,,
1619,4.718049,6.122904,6.605703,,,,,
1620,4.717695,6.121212,6.606656,5.859676,5.769851,,,
1621,4.717858,6.119802,6.60788,,,,,
1622,4.718321,6.118681,6.608833,5.86188,,,,
1623,4.718566,6.117503,6.608724,,,,,
1624,4.71813,6.115676,6.606928,5.8612,5.77132,5.652053,,
1625,4.716525,6.112237,6.602846,,,,,
1626,4.713423,6.106063,6.596152,5.853553,,,,
1627,4.708906,6.096862,6.586982,,,,,
1628,4.703191,6.084867,6.576288,5.838233,5.749606,,,
1629,4.696606,6.070789,6.56407,,,,,
1630,4.689531,6.055631,6.551553,5.817797,,,,
1631,4.68213,6.039996,6.538927,,,,,
1632,4.674619,6.024484,6.526545,5.796246,5.708761,5.590881,5.491995,5.468403
1633,4.666946,6.00938,6.514382,,,,,
1634,4.65919,5.995187,6.502518,5.775565,,,,
1635,4.651381,5.982357,6.491062,,,,,
1636,4.64387,5.97143,6.480531,5.757198,5.669468,,,
1637,4.637258,5.962875,6.47166,,,,,
1638,4.632224,5.956909,6.465157,5.744925,,,,
1639,4.629557,5.953987,6.462327,,,,,
1640,4.629965,5.954688,6.463361,5.74419,5.655917,5.540976,,
1641,4.634047,5.960092,6.469483,,,,,
1642,4.641748,5.970854,6.480776,5.759511,,,,
1643,4.652959,5.987826,6.496912,,,,,
1644,4.667054,6.010747,6.517212,5.790014,5.701686,,,
1645,4.683055,6.038153,6.540342,,,,,
1646,4.699654,6.067615,6.56456,5.828546,,,,
1647,4.715382,6.096436,6.587962,,,,,
1648,4.729015,6.122441,6.608942,5.863839,5.775075,5.655808,5.555017,
1649,4.739382,6.143592,6.625976,,,,,
1650,4.745831,6.158635,6.638167,5.886533,,,,
1651,4.748308,6.167009,6.644997,,,,,
1652,4.746947,6.168454,6.646629,5.89301,5.803593,,,
1653,4.742648,6.164258,6.643881,,,,,
1654,4.736253,6.155821,6.637541,5.884955,,,,
1655,4.728824,6.145117,6.628833,,,,,
1656,4.720987,6.133193,6.618411,5.868356,5.77864,5.659345,,
1657,4.713341,6.120974,6.607146,,,,,
1658,4.706103,6.108709,6.595499,5.848927,,,,
1659,4.699436,6.096485,6.58388,,,,,
1660,4.693749,6.084948,6.573131,5.831213,5.742068,,,
1661,4.689395,6.074644,6.563825,,,,,
1662,4.686946,6.066388,6.556805,5.81962,,,,
1663,4.686946,6.060909,6.552696,,,,,
1664,4.689259,6.058087,6.551471,5.816763,5.728707,5.610392,5.509982,5.486825
1665,4.693177,6.057107,6.552315,,,,,
1666,4.697069,6.055989,6.553267,5.81845,,,,
1667,4.699055,6.052622,6.552179,,,,,
1668,4.697259,6.044918,6.546818,5.812573,5.725279,,,
1669,4.690511,6.031703,6.535933,,,,,
1670,4.678701,6.013257,6.519579,5.789906,,,,
1671,4.662946,5.991394,6.499633,,,,,
1672,4.645421,5.969118,6.478354,5.756218,5.669522,5.553112,,
1673,4.628931,5.950068,6.459551,,,,,
1674,4.61606,5.937405,6.446381,5.729796,,,,
1675,4.608686,5.933114,6.440993,,,,,
1676,4.607625,5.937733,6.444149,5.726857,5.639889,,,
1677,4.612632,5.950662,6.455061,,,,,
1678,4.622727,5.97024,6.472558,5.749306,,,,
1679,4.636605,5.994542,6.49449,,,,,
1680,4.652959,6.021477,6.518872,5.78713,5.69921,5.582419,5.481383,
1681,4.670755,6.049657,6.544423,,,,,
1682,4.688878,6.077405,6.569567,5.829471,,,,
1683,4.70632,6.103739,6.592996,,,,,
1684,4.722321,6.128031,6.614438,5.867104,5.778858,,,
1685,4.735682,6.14896,6.632479,,,,,
1686,4.745532,6.165301,6.646058,5.893173,,,,
1687,4.750893,6.17525,6.653868,,,,,
1688,4.751519,6.177876,6.6555,5.900683,5.812382,5.691047,,
1689,4.747546,6.173171,6.65101,,,,,
1690,4.739872,6.162819,6.641541,5.889064,,,,
1691,4.729777,6.149124,6.628806,,,,,
1692,4.718702,6.134102,6.614738,5.866996,5.778667,,,
1693,4.707953,6.119098,6.600669,,,,,
1694,4.698484,6.104902,6.587907,5.844601,,,,
1695,4.690619,6.09136,6.576587,,,,,
1696,4.684361,6.078503,6.566329,5.826559,5.738694,5.620542,5.518336,5.495505
1697,4.679327,6.065855,6.556396,,,,,
1698,4.675109,6.053368,6.546328,5.810369,,,,
1699,4.671218,6.040763,6.535716,,,,,
1700,4.667381,6.02802,6.524613,5.793661,5.707047,,,
1701,4.663517,6.015424,6.513538,,,,,
1702,4.659571,6.003297,6.50298,5.777416,,,,
1703,4.655734,5.992492,6.493865,,,,,
1704,4.652143,5.983446,6.48649,5.765252,5.679618,5.562282,,
1705,4.648986,5.976667,6.481511,,,,,
1706,4.646347,5.972066,6.478545,5.759755,,,,
1707,4.644442,5.969497,6.477402,,,,,
1708,4.643435,5.968773,6.477619,5.759538,5.673604,,,
1709,4.643517,5.969953,6.479415,,,,,
1710,4.644632,5.973203,6.482517,5.762858,,,,
1711,4.646891,5.979152,6.487198,,,,,
1712,4.649938,5.987499,6.493157,5.769524,5.682992,5.567017,5.46658,
1713,4.653911,5.998362,6.500776,,,,,
1714,4.658973,6.011447,6.51011,5.781307,,,,
1715,4.665449,6.026715,6.521566,,,,,
1716,4.673857,6.044344,6.535498,5.800763,5.713931,,,
1717,4.684443,6.064568,6.552043,,,,,
1718,4.697259,6.087373,6.571444,5.829798,,,,
1719,4.711708,6.112061,6.59286,,,,,
1720,4.726865,6.137371,6.615146,5.865907,5.779103,5.658529,,
1721,4.741287,6.161315,6.636588,,,,,
1722,4.752906,6.180778,6.654412,5.898806,,,,
1723,4.760145,6.193282,6.666412,,,,,
1724,4.761886,6.197062,6.670984,5.913881,5.826451,,,
1725,4.758158,6.191916,6.667773,,,,,
1726,4.749832,6.178865,6.657487,5.904438,,,,
1727,4.73862,6.160435,6.642167,,,,,
1728,4.726212,6.139069,6.623853,5.877009,5.78947,5.668652,5.565194,5.541547
1729,4.714076,6.117184,6.604615,,,,,
1730,4.702783,6.095943,6.585513,5.843594,,,,
1731,4.692171,6.075653,6.5669,,,,,
1732,4.68164,6.055741,6.548423,5.810641,5.723755,,,
1733,4.67081,6.036011,6.530029,,,,,
1734,4.659816,6.016602,6.512069,5.7803,,,,
1735,4.649476,5.998277,6.495606,,,,,
1736,4.641258,5.982658,6.48249,5.758014,5.67189,5.55469,,
1737,4.636659,5.971499,6.47449,,,,,
1738,4.636795,5.966234,6.472803,5.75268,,,,
1739,4.641721,5.967393,6.477511,,,,,
1740,4.650292,5.974015,6.487034,5.765796,5.680053,,,
1741,4.660469,5.984163,6.498926,,,,,
1742,4.669585,5.995094,6.509974,5.784681,,,,
1743,4.675517,6.004209,6.517538,,,,,
1744,4.677177,6.009926,6.520423,5.792844,5.707074,5.589385,5.487968,
1745,4.674837,6.011809,6.518872,,,,,
1746,4.669939,6.010716,6.514681,5.787565,,,,
1747,4.664524,6.008374,6.5103,,,,,
1748,4.660823,6.007185,6.508477,5.781144,5.695047,,,
1749,4.660333,6.008897,6.511035,,,,,
1750,4.663599,6.014713,6.5186,5.787593,,,,
1751,4.67032,6.025229,6.530872,,,,,
1752,4.679381,6.040424,6.546437,5.80928,5.722313,5.603671,,
1753,4.68964,6.059738,6.563662,,,,,
1754,4.700007,6.08184,6.581159,5.838478,,,,
1755,4.709831,6.104688,6.597785,,,,,
1756,4.718919,6.126309,6.613105,5.866533,5.778558,,,
1757,4.727355,6.145674,6.627064,,,,,
1758,4.735083,6.161953,6.639337,5.889091,,,,
1759,4.741886,6.174637,6.649405,,,,,
1760,4.747138,6.182929,6.656344,5.902343,5.814015,5.692353,5.588514,5.565221
1761,4.74994,6.185548,6.658793,,,,,
1762,4.749423,6.181475,6.655664,5.900302,,,,
1763,4.744961,6.17033,6.64633,,,,,
1764,4.736498,6.152729,6.631064,5.879322,5.791593,,,
1765,4.724443,6.129749,6.610874,,,,,
1766,4.709695,6.102828,6.587336,5.843811,,,,
1767,4.693368,6.07382,6.562274,,,,,
1768,4.676687,6.04443,6.537376,5.803702,5.716163,5.597031,,
1769,4.660714,6.016114,6.513947,,,,,
1770,4.646374,5.990136,6.493048,5.7683,,,,
1771,4.634183,5.967122,6.47498,,,,,
1772,4.62485,5.948334,6.460503,5.74302,5.655454,,,
1773,4.618645,5.934598,6.45,,,,,
1774,4.615815,5.926737,6.443877,5.730966,,,,
1775,4.61636,5.925025,6.442381,,,,,
1776,4.619897,5.929074,6.445319,5.733143,5.646257,5.530091,5.430171,
1777,4.62602,5.938303,6.452449,,,,,
1778,4.634156,5.951797,6.463116,5.747537,,,,
1779,4.643625,5.968481,6.476585,,,,,
1780,4.653993,5.987335,6.492069,5.770232,5.683618,,,
1781,4.664769,6.007418,6.508804,,,,,
1782,4.675408,6.027616,6.52592,5.796572,,,,
1783,4.685368,6.046965,6.542546,,,,,
1784,4.693858,6.06433,6.557621,5.821117,5.733442,5.61393,,
1785,4.700116,6.078717,6.570138,,,,,
1786,4.703681,6.089435,6.579363,5.837798,,,,
1787,4.704388,6.096133,6.584941,,,,,
1788,4.702919,6.099404,6.587309,5.844111,5.754749,,,
1789,4.700606,6.100708,6.587826,,,,,
1790,4.699191,6.102154,6.58837,5.845771,,,,
1791,4.700416,6.105982,6.591145,,,,,
1792,4.705341,6.113541,6.597241,5.853825,5.764082,5.64457,5.541629,5.519043
1793,4.714103,6.12529,6.6072,,,,,
1794,4.725477,6.140008,6.619881,5.872057,,,,
1795,4.737341,6.155251,6.633105,,,,,
1796,4.746811,6.167156,6.643609,5.890425,5.801062,,,
1797,4.751464,6.172289,6.64848,,,,,
1798,4.749532,6.168002,6.645568,5.891758,,,,
1799,4.740688,6.153814,6.634275,,,,,
1800,4.725913,6.131186,6.615527,5.868057,5.778994,5.657685,,
1801,4.707055,6.102814,6.59139,,,,,
1802,4.686728,6.072099,6.564832,5.827321,,,,
1803,4.666918,6.041555,6.538274,,,,,
1804,4.64904,6.012827,6.513321,5.784001,5.695264,,,
1805,4.633503,5.986336,6.490463,,,,,
1806,4.620224,5.962398,6.469864,5.746776,,,,
1807,4.608985,5.941697,6.451524,,,,,
1808,4.599924,5.925063,6.435904,5.718394,5.630229,5.514662,5.414633,
1809,4.593883,5.913555,6.424475,,,,,
1810,4.59206,5.908341,6.41887,5.705659,,,,
1811,4.595706,5.910971,6.421156,,,,,
1812,4.605747,5.922786,6.432312,5.717904,5.629413,,,
1813,4.621802,5.943449,6.452258,,,,,
1814,4.642319,5.971446,6.479388,5.756871,,,,
1815,4.664605,6.003662,6.509946,,,,,
1816,4.685585,6.036146,6.539961,5.806613,5.71736,5.598555,,
1817,4.702429,6.064691,6.565458,,,,,
1818,4.713477,6.086305,6.583798,5.843104,,,,
1819,4.718511,6.099914,6.594329,,,,,
1820,4.718266,6.106039,6.597758,5.85554,5.765551,,,
1821,4.714511,6.107125,6.596343,,,,,
1822,4.709123,6.105552,6.592506,5.851703,,,,
1823,4.703708,6.10348,6.58837,,,,,
1824,4.699354,6.10228,6.585621,5.84539,5.754966,5.635318,5.533357,5.510363
1825,4.696579,6.102589,6.584642,,,,,
1826,4.695354,6.104292,6.585349,5.84392,,,,
1827,4.695626,6.107302,6.587472,,,,,
1828,4.697395,6.111497,6.590737,5.847539,5.756925,,,
1829,4.700388,6.116066,6.594438,,,,,
1830,4.704252,6.119999,6.597948,5.853689,,,,
1831,4.708606,6.122235,6.600805,,,,,
1832,4.712497,6.121683,6.601622,5.857335,5.76713,5.647318,,
1833,4.715055,6.117698,6.599907,,,,,
1834,4.7153,6.10994,6.594873,5.853227,,,,
1835,4.712552,6.098344,6.586411,,,,,
1836,4.706457,6.08295,6.574029,5.83758,5.748463,,,
1837,4.697422,6.064526,6.558546,,,,,
1838,4.685994,6.043681,6.540587,5.811239,,,,
1839,4.67315,6.021676,6.521402,,,,,
1840,4.65968,5.999586,6.501946,5.779565,5.690992,5.572922,5.471913,
1841,4.646156,5.978328,6.483034,,,,,
1842,4.633203,5.958902,6.465592,5.748735,,,,
1843,4.621557,5.942316,6.450653,,,,,
1844,4.611951,5.929397,6.439088,5.725523,5.637032,,,
1845,4.60523,5.921047,6.431632,,,,,
1846,4.602101,5.917858,6.428911,5.7157,,,,
1847,4.60308,5.9204,6.431333,,,,,
1848,4.608033,5.928623,6.438707,5.722285,5.63393,5.518064,,
1849,4.616305,5.94209,6.450381,,,,,
1850,4.626945,5.959932,6.465456,5.743129,,,,
1851,4.638945,5.981251,6.483089,,,,,
1852,4.651245,6.00436,6.502055,5.773171,5.685006,,,
1853,4.663571,6.028308,6.521974,,,,,
1854,4.67617,6.052518,6.542627,5.808001,,,,
1855,4.689477,6.076464,6.564233,,,,,
1856,4.703735,6.099895,6.586465,5.845689,5.756762,5.636379,5.534908,5.511479
1857,4.71843,6.121776,6.60818,,,,,
1858,4.732471,6.140894,6.627908,5.879567,,,,
1859,4.744035,6.155424,6.643418,,,,,
1860,4.751192,6.163796,6.652616,5.897853,5.808028,,,
1861,4.752607,6.165429,6.654058,,,,,
1862,4.747709,6.16031,6.647228,5.891622,,,,
1863,4.737423,6.149319,6.633323,,,,,
1864,4.723817,6.134012,6.615091,5.865118,5.775429,5.6551,,
1865,4.709477,6.116229,6.595281,,,,,
1866,4.697014,6.098338,6.577485,5.835049,,,,
1867,4.688198,6.082001,6.56407,,,,,
1868,4.683463,6.067937,6.555607,5.817144,5.728626,,,
1869,4.682048,6.056083,6.551471,,,,,
1870,4.68213,6.04606,6.549539,5.812001,,,,
1871,4.681749,6.037666,6.547417,,,,,
1872,4.678946,6.029593,6.542464,5.80743,5.719945,5.601167,5.499451,
1873,4.673123,6.020229,6.53362,,,,,
1874,4.664687,6.008209,6.521049,5.792681,,,,
1875,4.655081,5.993914,6.506327,,,,,
1876,4.646156,5.979098,6.491606,5.770477,5.683863,,,
1877,4.639435,5.965906,6.479034,,,,,
1878,4.635435,5.955311,6.469565,5.75132,,,,
1879,4.633693,5.94741,6.463225,,,,,
1880,4.632959,5.941421,6.458952,5.739619,5.653631,5.537057,,
1881,4.631979,5.936504,6.455469,,,,,
1882,4.629992,5.932595,6.452068,5.732272,,,,
1883,4.627489,5.930821,6.449401,,,,,
1884,4.62572,5.932801,6.448966,5.730612,5.644651,,,
1885,4.626537,5.940576,6.453047,,,,,
1886,4.631625,5.95574,6.46366,5.744544,,,,
1887,4.641993,5.979091,6.482028,,,,,
1888,4.657503,6.01003,6.507906,5.781742,5.695183,5.577929,5.476947,5.454552
1889,4.677014,6.046591,6.53958,,,,,
1890,4.698402,6.08568,6.574002,5.835403,,,,
1891,4.719273,6.123677,6.607717,,,,,
1892,4.736661,6.155984,6.636153,5.885037,5.797579,,,
1893,4.748607,6.179577,6.656344,,,,,
1894,4.754131,6.193014,6.666847,5.9092,,,,
1895,4.753287,6.196282,6.667718,,,,,
1896,4.747002,6.190504,6.660262,5.90335,5.816137,5.69287,,
1897,4.736471,6.177287,6.64633,,,,,
1898,4.723164,6.158506,6.62799,5.876574,,,,
1899,4.708443,6.135762,6.606982,,,,,
1900,4.693531,6.110751,6.584941,5.841335,5.753959,,,
1901,4.679381,6.08476,6.563063,,,,,
1902,4.666973,6.059342,6.542573,5.807539,,,,
1903,4.657231,6.036279,6.524886,,,,,
1904,4.650428,6.016644,6.510627,5.782776,5.695591,5.578636,5.47809,
1905,4.646564,6.001272,6.500042,,,,,
1906,4.645176,5.990178,6.492939,5.769742,,,,
1907,4.645476,5.982849,6.488531,,,,,
1908,4.646619,5.978263,6.485892,5.764817,5.678856,,,
1909,4.647789,5.975154,6.483905,,,,,
1910,4.648551,5.972626,6.481919,5.761225,,,,
1911,4.648687,5.970069,6.479524,,,,,
1912,4.648006,5.967234,6.476558,5.755374,5.670829,5.552731,,
1913,4.646483,5.964398,6.473266,,,,,
1914,4.643843,5.961591,6.469619,5.748082,,,,
1915,4.640006,5.958994,6.465864,,,,,
1916,4.634809,5.956385,6.462027,5.741333,5.656624,,,
1917,4.628795,5.953896,6.458653,,,,,
1918,4.622918,5.952156,6.456775,5.737877,,,,
1919,4.618781,5.95238,6.457701,,,,,
1920,4.617965,5.956007,6.462925,5.74419,5.657767,5.541847,5.441545,5.419613
1921,4.621829,5.964497,6.473456,,,,,
1922,4.630754,5.978428,6.489375,5.766096,,,,
1923,4.644278,5.998178,6.509756,,,,,
1924,4.660687,6.02323,6.532722,5.800545,5.713006,,,
1925,4.677939,6.052391,6.55607,,,,,
1926,4.693858,6.08293,6.577567,5.835838,,,,
1927,4.707028,6.110993,6.595662,,,,,
1928,4.717368,6.134263,6.610384,5.862097,5.774314,5.654366,,
1929,4.725804,6.152205,6.622656,,,,,
1930,4.733532,6.165789,6.633786,5.881173,,,,
1931,4.741559,6.176592,6.645024,,,,,
1932,4.749178,6.184574,6.655364,5.898343,5.81075,,,
1933,4.754593,6.188852,6.66282,,,,,
1934,4.755219,6.187069,6.664181,5.904901,,,,
1935,4.748934,6.176587,6.656562,,,,,
1936,4.734756,6.155183,6.638221,5.883894,5.796137,5.676244,5.573357,
1937,4.71364,6.123017,6.609867,,,,,
1938,4.688307,6.083316,6.574492,5.832628,,,,
1939,4.662401,6.041431,6.536614,,,,,
1940,4.639625,6.002739,6.501184,5.773062,5.685686,,,
1941,4.622781,5.97115,6.472204,,,,,
1942,4.613176,5.948912,6.452095,5.732,,,,
1943,4.610482,5.936378,6.441238,,,,,
1944,4.612958,5.932155,6.438244,5.719483,5.632977,5.517247,,
1945,4.61821,5.933742,6.440557,,,,,
1946,4.624169,5.938502,6.445836,5.725959,,,,
1947,4.629693,5.944518,6.452394,,,,,
1948,4.634428,5.950744,6.459333,5.739374,5.653196,,,
1949,4.638836,5.957325,6.466762,,,,,
1950,4.643489,5.964777,6.475007,5.75532,,,,
1951,4.648877,5.973892,6.484504,,,,,
1952,4.654728,5.984327,6.494654,5.773062,5.686203,5.568731,5.468729,5.445981
1953,4.660306,5.995283,6.504477,,,,,
1954,4.664741,6.005514,6.512695,5.78713,,,,
1955,4.667109,6.013779,6.518164,,,,,
1956,4.667354,6.01987,6.520695,5.791674,5.703863,,,
1957,4.665993,6.024452,6.52113,,,,,
1958,4.664306,6.02916,6.521294,5.790259,,,,
1959,4.664088,6.036184,6.523579,,,,,
1960,4.666728,6.047048,6.530056,5.796137,5.708108,5.590337,,
1961,4.673313,6.062966,6.542165,,,,,
1962,4.683871,6.083706,6.559934,5.81992,,,,
1963,4.697558,6.107918,6.582247,,,,,
1964,4.712797,6.133326,6.606547,5.858342,5.769252,,,
1965,4.727518,6.156965,6.629976,,,,,
1966,4.739627,6.175617,6.649187,5.89467,,,,
1967,4.747328,6.186676,6.66146,,,,,
1968,4.749423,6.188384,6.664834,5.909445,5.819648,5.698258,5.595671,
1969,4.74545,6.180067,6.658439,,,,,
1970,4.735682,6.162208,6.642684,5.892629,,,,
1971,4.720987,6.13625,6.61901,,,,,
1972,4.703055,6.104816,6.59003,5.84958,5.76049,,,
1973,4.683653,6.070563,6.558709,,,,,
1974,4.664687,6.036164,6.527906,5.797634,,,,
1975,4.64768,6.003476,6.499905,,,,,
1976,4.633639,5.973834,6.476041,5.753742,5.665686,5.548513,,
1977,4.62289,5.948153,6.45732,,,,,
1978,4.615189,5.927174,6.443306,5.725387,,,,
1979,4.609938,5.911678,6.433455,,,,,
1980,4.606536,5.90193,6.427088,5.711673,5.623998,,,
1981,4.604577,5.897535,6.423714,,,,,
1982,4.604251,5.89826,6.423523,5.709795,,,,
1983,4.606019,5.903727,6.426843,,,,,
1984,4.610455,5.913743,6.43419,5.720544,5.633032,5.517111,5.417082,5.394714
1985,4.617883,5.928004,6.445728,,,,,
1986,4.627952,5.945818,6.460912,5.743918,,,,
1987,4.639625,5.965686,6.478327,,,,,
1988,4.651326,5.985464,6.496123,5.77249,5.684842,,,
1989,4.661422,6.002784,6.512396,,,,,
1990,4.668986,6.017033,6.525974,5.795538,,,,
1991,4.673966,6.029936,6.536723,,,,,
1992,4.677231,6.043314,6.545512,5.81045,5.721904,5.602174,,
1993,4.680198,6.057772,6.553838,,,,,
1994,4.68417,6.073127,6.563118,5.824328,,,,
1995,4.689667,6.088522,6.573784,,,,,
1996,4.696198,6.102208,6.585186,5.841362,5.751891,,,
1997,4.70262,6.112308,6.595771,,,,,
1998,4.707436,6.117219,6.603717,5.854886,,,,
1999,4.70945,6.116446,6.607499,,,,,
2000,4.708497,6.111609,6.60701,5.856682,5.766858,5.647454,5.545656,
2001,4.705232,6.105204,6.603091,,,,,
2002,4.700933,6.099577,6.597268,5.849471,,,,
2003,4.697477,6.096615,6.591826,,,,,
2004,4.696198,6.096578,6.588206,5.84373,5.754749,,,
2005,4.697912,6.098912,6.587254,,,,,
2006,4.702103,6.101719,6.588125,5.844383,,,,
2007,4.707246,6.102901,6.589159,,,,,
2008,4.710892,6.099797,6.587662,5.843512,5.755347,5.634964,,
2009,4.710375,6.090124,6.580941,,,,,
2010,4.70379,6.072484,6.567036,5.826396,,,,
2011,4.690565,6.0469,6.545512,,,,,
2012,4.671626,6.014882,6.517511,5.787048,5.698965,,,
2013,4.649421,5.979579,6.485864,,,,,
2014,4.626972,5.944785,6.454136,5.736571,,,,
2015,4.607353,5.914333,6.425999,,,,,
2016,4.592849,5.891286,6.404584,5.696326,5.608705,5.492893,5.393055,5.37066
2017,4.584713,5.877618,6.391903,,,,,
2018,4.583134,5.874025,6.388692,5.682666,,,,
2019,4.587516,5.880283,6.394706,,,,,
2020,4.596767,5.895285,6.408775,5.698992,5.611617,,,
2021,4.609992,5.918011,6.429618,,,,,
2022,4.626183,5.946736,6.455496,5.73834,,,,
2023,4.644578,5.979733,6.484776,,,,,
2024,4.664442,6.015234,6.515879,5.788926,5.701333,5.582255,,
2025,4.684823,6.051181,6.547063,,,,,
2026,4.704171,6.084989,6.57607,5.837988,,,,
2027,4.720906,6.114218,6.600805,,,,,
2028,4.733369,6.136567,6.619336,5.872002,5.783919,,,
2029,4.74028,6.150091,6.630085,,,,,
2030,4.741178,6.154007,6.632507,5.881554,,,,
2031,4.736389,6.148776,6.627064,,,,,
2032,4.726974,6.136062,6.615255,5.867322,5.778967,5.658665,5.557085,
2033,4.714756,6.118911,6.599581,,,,,
2034,4.701749,6.100785,6.582955,5.841335,,,,
2035,4.689966,6.084856,6.568152,,,,,
2036,4.681014,6.073484,6.557485,5.820709,5.732653,,,
2037,4.675762,6.067385,6.552043,,,,,
2038,4.674429,6.066215,6.551879,5.815675,,,,
2039,4.676361,6.068558,6.555852,,,,,
2040,4.680334,6.072376,6.561866,5.823104,5.735238,5.616052,,
2041,4.684878,6.075873,6.56758,,,,,
2042,4.688361,6.077064,6.570791,5.830015,,,,
2043,4.689205,6.07437,6.569376,,,,,
2044,4.68632,6.066499,6.562138,5.822967,5.735864,,,
2045,4.679109,6.052577,6.54875,,,,,
2046,4.667626,6.032583,6.529702,5.796845,,,,
2047,4.652796,6.00768,6.506463,,,,,
2048,4.635925,5.97962,6.480966,5.757415,5.671073,5.551643,5.450743,5.42813
2049,4.618673,5.950651,6.455224,,,,,
2050,4.602754,5.923054,6.43155,5.717442,,,,
2051,4.589828,5.899518,6.412312,,,,,
2052,4.580821,5.88177,6.398842,5.691047,5.604514,,,
2053,4.576577,5.872015,6.392393,,,,,
2054,4.577311,5.871737,6.393482,5.687155,,,,
2055,4.582971,5.881525,6.402135,,,,,
2056,4.593257,5.90079,6.417836,5.707673,5.620134,5.504785,,
2057,4.607652,5.927784,6.439523,,,,,
2058,4.625557,5.960194,6.465973,5.747211,,,,
2059,4.646102,5.995527,6.495688,,,,,
2060,4.66798,6.031438,6.526818,5.796164,5.708244,,,
2061,4.689531,6.065839,6.557213,,,,,
2062,4.70877,6.096792,6.584696,5.84226,,,,
2063,4.724008,6.122851,6.607472,,,,,
2064,4.733913,6.142716,6.62418,5.874125,5.786314,5.664216,5.560894,
2065,4.738076,6.155385,6.634085,,,,,
2066,4.737042,6.160701,6.637486,5.885853,,,,
2067,4.732199,6.159342,6.6355,,,,,
2068,4.725287,6.152541,6.629513,5.880356,5.792273,,,
2069,4.71813,6.142327,6.621432,,,,,
2070,4.711953,6.130529,6.612561,5.866234,,,,
2071,4.707164,6.118637,6.603771,,,,,
2072,4.703082,6.106831,6.594656,5.849798,5.761715,5.64242,,
2073,4.698674,6.094778,6.584315,,,,,
2074,4.69296,6.081756,6.57207,5.82958,,,,
2075,4.685395,6.066905,6.55743,,,,,
2076,4.676334,6.050198,6.54094,5.803838,5.716272,,,
2077,4.666891,6.032479,6.524015,,,,,
2078,4.658564,6.015474,6.50864,5.778722,,,,
2079,4.652877,6.001227,6.496885,,,,,
2080,4.650592,5.991108,6.489864,5.765198,5.67891,5.561221,5.460893,5.438498
2081,4.651408,5.985414,6.487579,,,,,
2082,4.654047,5.982771,6.488477,5.765551,,,,
2083,4.656469,5.980897,6.490191,,,,,
2084,4.656551,5.977036,6.490109,5.767973,5.682257,,,
2085,4.652741,5.969405,6.485946,,,,,
2086,4.644714,5.957742,6.477157,5.758476,,,,
2087,4.633503,5.94386,6.464857,,,,,
2088,4.621203,5.930718,6.451442,5.737333,5.6511,5.535425,,
2089,4.6104,5.92175,6.440013,,,,,
2090,4.603489,5.919777,6.433537,5.720707,,,,
2091,4.602046,5.926279,6.434272,,,,,
2092,4.606291,5.940692,6.442625,5.725197,5.638202,,,
2093,4.615788,5.961722,6.458381,,,,,
2094,4.629367,5.987288,6.480177,5.753878,,,,
2095,4.645775,6.015481,6.505974,,,,,
2096,4.663843,6.044853,6.534518,5.798396,5.711074,5.592405,5.49039,
2097,4.682647,6.074563,6.563852,,,,,
2098,4.701341,6.104267,6.592424,5.847431,,,,
2099,4.719164,6.133445,6.618765,,,,,
2100,4.735328,6.160242,6.641568,5.889989,5.80177,,,
2101,4.748797,6.181872,6.659555,,,,,
2102,4.758675,6.19628,6.671936,5.916575,,,,
2103,4.763954,6.202095,6.677188,,,,,
2104,4.763873,6.19838,6.674793,5.919214,5.830668,5.709496,,
2105,4.758185,6.184741,6.664562,,,,,
2106,4.747056,6.161513,6.646956,5.895132,,,,
2107,4.731301,6.130272,6.623091,,,,,
2108,4.712089,6.094404,6.5949,5.850669,5.763266,,,
2109,4.691191,6.058463,6.564832,,,,,
2110,4.670347,6.026232,6.535389,5.800709,,,,
2111,4.65149,6.000002,6.50913,,,,,
2112,4.635816,5.979815,6.48747,5.761551,5.674774,5.557711,5.458144,5.436021
2113,4.624305,5.96523,6.47147,,,,,
2114,4.617258,5.955448,6.461293,5.74136,,,,
2115,4.614428,5.949562,6.456286,,,,,
2116,4.614999,5.946406,6.45536,5.738367,5.651808,,,
2117,4.617775,5.944999,6.456993,,,,,
2118,4.621421,5.944368,6.459469,5.743701,,,,
2119,4.624877,5.944023,6.461619,,,,,
2120,4.627625,5.944045,6.462898,5.74781,5.661604,5.54503,,
2121,4.629775,5.945165,6.463633,,,,,
2122,4.63187,5.948208,6.464531,5.748762,,,,
2123,4.634564,5.953812,6.466381,,,,,
2124,4.63821,5.962107,6.469864,5.751021,5.665141,,,
2125,4.642727,5.97246,6.475279,,,,,
2126,4.647517,5.983742,6.482,5.758286,,,,
2127,4.651952,5.994905,6.489864,,,,,
