Time(fs),ZINDO,LC-DFTB,STO-3G,3-21G,6-31G,def2-SVP,def2-TZVP,def2-QZVP
105,4.734348,6.171474,6.650112,,,,,
106,4.725015,6.160352,6.637187,5.88588,,,,
107,4.71198,6.142595,6.618574,,,,,
108,4.696279,6.118702,6.595363,5.850124,5.762368,,,
109,4.679354,6.090459,6.569322,,,,,
110,4.662918,6.060693,6.542491,5.805933,,,,
111,4.648714,6.032567,6.517511,,,,,
112,4.638156,6.008461,6.496722,5.768463,5.681577,5.563833,5.462552,
113,4.632088,5.990212,6.481919,,,,,
114,4.63051,5.978395,6.47381,5.75034,,,,
115,4.632714,5.972556,6.472014,,,,,
116,4.637312,5.97114,6.475061,5.752572,5.666148,,,
117,4.642782,5.972436,6.480912,,,,,
118,4.647843,5.974661,6.487279,5.764327,,,,
119,4.651626,5.976322,6.492259,,,,,
120,4.653939,5.976724,6.494763,5.771756,5.685795,5.568514,,
121,4.655027,5.976153,6.494572,,,,,
122,4.655163,5.975137,6.492069,5.769252,,,,
123,4.654673,5.974319,6.488259,,,,,
124,4.653476,5.97398,6.484041,5.761089,5.675917,,,
125,4.651517,5.974574,6.480422,,,,,
126,4.648959,5.976442,6.478354,5.75532,,,,
127,4.646292,5.980025,6.478681,,,,,
128,4.644605,5.986367,6.482572,5.759075,5.673332,5.556241,5.456675,5.434688
129,4.64534,5.99685,6.491143,,,,,
130,4.649666,6.01229,6.504912,5.778477,,,,
131,4.658483,6.033362,6.524178,,,,,
132,4.671544,6.059081,6.547906,5.814233,5.727183,,,
133,4.687708,6.087449,6.574383,,,,,
134,4.704905,6.115322,6.60086,5.856628,,,,
135,4.720743,6.13967,6.624425,,,,,
136,4.733069,6.158061,6.642439,5.888928,5.801035,5.679754,,
137,4.740634,6.169621,6.653351,,,,,
138,4.743274,6.174724,6.656915,5.89954,,,,
139,4.741859,6.174754,6.654221,,,,,
140,4.737804,6.171009,6.647065,5.890751,5.803158,,,
141,4.732498,6.164431,6.637432,,,,,
142,4.726511,6.154912,6.626411,5.872873,,,,
143,4.719736,6.14203,6.614193,,,,,
144,4.711219,6.125057,6.600152,5.850043,5.762558,5.640678,5.537602,
145,4.699844,6.103105,6.583036,,,,,
146,4.685041,6.076036,6.562138,5.818831,,,,
147,4.667082,6.044518,6.537457,,,,,
148,4.647489,6.010498,6.510327,5.778422,5.690693,,,
149,4.628414,5.976731,6.483007,,,,,
150,4.612223,5.946361,6.458218,5.738639,,,,
151,4.600767,5.922255,6.438462,,,,,
152,4.594727,5.906108,6.425101,5.713142,5.625984,5.510744,,
153,4.593937,5.898619,6.41887,,,,,
154,4.597312,5.899088,6.418924,5.70789,,,,
155,4.603516,5.906302,6.424095,,,,,
156,4.611298,5.918282,6.432857,5.718666,5.632324,,,
157,4.620006,5.933438,6.444476,,,,,
158,4.629285,5.950268,6.458109,5.739456,,,,
159,4.639054,5.967943,6.473429,,,,,
160,4.649285,5.986061,6.490028,5.76615,5.679863,5.560813,5.459342,5.436266
161,4.659599,6.004285,6.507389,,,,,
162,4.669259,6.021866,6.524396,5.794314,,,,
163,4.677395,6.037973,6.539797,,,,,
164,4.683218,6.051596,6.552233,5.816464,5.728789,,,
165,4.686483,6.06253,6.561049,,,,,
166,4.687599,6.071141,6.566519,5.827321,,,,
167,4.68749,6.077985,6.569512,,,,,
168,4.687626,6.083983,6.57188,5.831213,5.742612,5.622664,,
169,4.689341,6.089624,6.575363,,,,,
170,4.693694,6.095484,6.581458,5.838641,,,,
171,4.70096,6.102022,6.590764,,,,,
172,4.710647,6.109807,6.602928,5.855812,5.767102,,,
173,4.721532,6.119638,6.616615,,,,,
174,4.731845,6.13199,6.629731,5.877962,,,,
175,4.739872,6.145655,6.639827,,,,,
176,4.74409,6.156524,6.644616,5.891404,5.803294,5.680108,5.575643,
177,4.743518,6.15932,6.64252,,,,,
178,4.737641,6.151136,6.632724,5.883159,,,,
179,4.72662,6.132402,6.615527,,,,,
180,4.710865,6.104959,6.591826,5.850233,5.762776,,,
181,4.691409,6.071308,6.563281,,,,,
182,4.669612,6.033982,6.531961,5.801062,,,,
183,4.647408,5.996004,6.500314,,,,,
184,4.626945,5.960581,6.470898,5.75064,5.664026,5.546581,,
185,4.610264,5.931126,6.446245,,,,,
186,4.598972,5.910605,6.428367,5.714965,,,,
187,4.593992,5.900654,6.418598,,,,,
188,4.59508,5.900812,6.41702,5.704108,5.617875,,,
189,4.601366,5.909523,6.422924,,,,,
190,4.611325,5.924257,6.434653,5.717142,,,,
191,4.623489,5.942777,6.45049,,,,,
192,4.63655,5.96287,6.468585,5.745143,5.658311,5.540459,5.439178,5.416647
193,4.649694,5.983262,6.48766,,,,,
194,4.662428,6.003149,6.506627,5.778504,,,,
195,4.674619,6.022356,6.524913,,,,,
196,4.685858,6.040699,6.54192,5.809688,5.722176,,,
197,4.695463,6.057545,6.556832,,,,,
198,4.702565,6.072087,6.568832,5.832219,,,,
199,4.70613,6.083053,6.576968,,,,,
200,4.705695,6.089587,6.580778,5.840791,5.752136,5.632052,,
201,4.70164,6.09169,6.580587,,,,,
202,4.695273,6.090605,6.577757,5.836845,,,,
203,4.688633,6.088574,6.574329,,,,,
204,4.684116,6.088518,6.572832,5.831702,5.742286,,,
205,4.683545,6.092456,6.575091,,,,,
206,4.687735,6.100898,6.581866,5.837934,,,,
207,4.696116,6.112724,6.592451,,,,,
208,4.706865,6.125407,6.604642,5.855295,5.765715,5.645277,5.541302,
209,4.71745,6.136137,6.615717,,,,,
210,4.725314,6.142113,6.622765,5.870043,,,,
211,4.728797,6.141846,6.624098,,,,,
212,4.727273,6.134824,6.619064,5.868873,5.779919,,,
213,4.721368,6.121903,6.608343,,,,,
214,4.712606,6.104759,6.593649,5.850778,,,,
215,4.702674,6.085362,6.576941,,,,,
216,4.692851,6.065262,6.559771,5.824491,5.736381,5.616542,,
217,4.683599,6.045278,6.542818,,,,,
218,4.674565,6.025495,6.526192,5.796708,,,,
219,4.665014,6.005633,6.509429,,,,,
220,4.654238,5.985389,6.49215,5.767565,5.67989,,,
221,4.642183,5.96538,6.47449,,,,,
222,4.62972,5.947212,6.457864,5.738503,,,,
223,4.61821,5.932551,6.443877,,,,,
224,4.609339,5.923006,6.434326,5.718476,5.631045,5.515343,5.415558,5.393191
225,4.60455,5.919932,6.430707,,,,,
226,4.604414,5.923711,6.433482,5.716816,,,,
227,4.608632,5.93393,6.442108,,,,,
228,4.616115,5.94925,6.455143,5.733714,5.646039,,,
229,4.625557,5.967792,6.470844,,,,,
230,4.635925,5.987729,6.48766,5.760599,,,,
231,4.646755,6.007918,6.504804,,,,,
232,4.657966,6.027731,6.521947,5.790314,5.702475,5.584541,,
233,4.66983,6.047298,6.539335,,,,,
234,4.682429,6.066972,6.557213,5.82109,,,,
235,4.695354,6.086717,6.575254,,,,,
236,4.707735,6.106077,6.592778,5.851267,5.762749,,,
237,4.718293,6.123889,6.608425,,,,,
238,4.725913,6.138389,6.620561,5.873581,,,,
239,4.729831,6.147826,6.627826,,,,,
240,4.729886,6.151096,6.629377,5.879377,5.789389,5.668924,5.565874,
241,4.726675,6.148685,6.625541,,,,,
242,4.720933,6.141129,6.616887,5.867703,,,,
243,4.713613,6.129495,6.605023,,,,,
244,4.705586,6.114828,6.591662,5.846233,5.756,,,
245,4.697803,6.098865,6.57841,,,,,
246,4.690919,6.083155,6.566764,5.825934,,,,
247,4.685449,6.069364,6.557757,,,,,
248,4.681749,6.058668,6.551526,5.814668,5.725687,5.60631,,
249,4.679735,6.051359,6.547634,,,,,
250,4.678973,6.046577,6.544995,5.811185,,,,
251,4.678538,6.042344,6.542083,,,,,
252,4.67734,6.036446,6.53743,5.806369,5.718557,,,
253,4.674021,6.027077,6.529648,,,,,
254,4.667544,6.013345,6.517919,5.79045,,,,
255,4.657558,5.995768,6.502409,,,,,
256,4.644442,5.975369,6.483851,5.761715,5.674448,5.557792,5.45828,5.435341
257,4.629339,5.953898,6.46366,,,,,
258,4.614237,5.933794,6.444449,5.72849,,,,
259,4.601203,5.917245,6.428285,,,,,
260,4.592114,5.90635,6.417346,5.70536,5.61812,,,
261,4.588277,5.902506,6.413128,,,,,
262,4.590073,5.906432,6.416394,5.703455,,,,
263,4.597121,5.91788,6.42687,,,,,
264,4.608577,5.936301,6.443904,5.72517,5.637195,5.522935,,
265,4.623407,5.960693,6.466327,,,,,
266,4.640632,5.990036,6.492912,5.765687,,,,
267,4.659571,6.023152,6.522409,,,,,
268,4.679599,6.058737,6.553566,5.816682,5.727782,,,
269,4.69998,6.094886,6.584805,,,,,
270,4.719981,6.129894,6.614574,5.866669,,,,
271,4.738103,6.161179,6.640643,,,,,
272,4.75258,6.186144,6.660779,5.902153,5.812954,5.691591,5.588868,
273,4.761451,6.20217,6.672834,,,,,
274,4.763002,6.207013,6.67512,5.911105,,,,
275,4.756689,6.199829,6.66731,,,,,
276,4.743246,6.181346,6.650493,5.890288,5.801171,,,
277,4.724906,6.153949,6.627228,,,,,
278,4.704878,6.121531,6.601404,5.851512,,,,
279,4.686456,6.088337,6.57656,,,,,
280,4.672252,6.058158,6.555798,5.815811,5.726993,5.608106,,
281,4.66349,6.033921,6.540695,,,,,
282,4.659898,6.017106,6.531171,5.796518,,,,
283,4.660007,6.007694,6.525756,,,,,
284,4.661721,6.004002,6.522355,5.790232,5.702013,,,
285,4.663027,6.002895,6.518627,,,,,
286,4.663,6.001662,6.513566,5.784844,,,,
287,4.661422,5.998545,6.506953,,,,,
288,4.659054,5.993656,6.499552,5.774994,5.688135,5.571779,5.471832,5.449001
289,4.656877,5.988085,6.492885,,,,,
290,4.655707,5.983336,6.48815,5.765443,,,,
291,4.65549,5.979913,6.485592,,,,,
292,4.655408,5.977344,6.484504,5.760898,5.675264,,,
293,4.654292,5.974835,6.483742,,,,,
294,4.651245,5.971725,6.482136,5.757987,,,,
295,4.645938,5.96797,6.479007,,,,,
296,4.639217,5.964458,6.47498,5.752436,5.666393,5.550799,,
297,4.632442,5.96209,6.471225,,,,,
298,4.627435,5.962181,6.469701,5.748653,,,,
299,4.625693,5.965613,6.47215,,,,,
300,4.628278,5.972864,6.479198,5.756055,5.668706,,,
301,4.635326,5.983886,6.491307,,,,,
302,4.646374,5.99862,6.507742,5.77845,,,,
303,4.660333,6.017314,6.527144,,,,,
304,4.675871,6.040126,6.548124,5.811375,5.723755,5.60563,5.504512,
305,4.691762,6.066496,6.569322,,,,,
306,4.706974,6.094652,6.589758,5.846478,,,,
307,4.720661,6.121821,6.608425,,,,,
308,4.732307,6.145487,6.624751,5.876302,5.788953,,,
309,4.741369,6.163648,6.637949,,,,,
310,4.746974,6.174664,6.646847,5.894914,,,,
311,4.748525,6.177762,6.650276,,,,,
312,4.74545,6.172518,6.647609,5.895568,5.807838,5.687509,,
313,4.737722,6.159228,6.638139,,,,,
314,4.726049,6.139386,6.622629,5.875023,,,,
315,4.711572,6.114951,6.602248,,,,,
316,4.695735,6.088221,6.578955,5.838668,5.751184,,,
317,4.679844,6.061228,6.554355,,,,,
318,4.665068,6.035816,6.530491,5.798015,,,,
319,4.65217,6.013189,6.508804,,,,,
320,4.641639,5.994183,6.490436,5.764191,5.677767,5.561466,5.461328,5.439504
321,4.633693,5.97918,6.476068,,,,,
322,4.628741,5.968647,6.466354,5.744082,,,,
323,4.626945,5.962639,6.46151,,,,,
324,4.628278,5.961041,6.461456,5.740789,5.655236,,,
325,4.632414,5.96328,6.465592,,,,,
326,4.638265,5.967984,6.472395,5.751347,,,,
327,4.644442,5.973497,6.480123,,,,,
328,4.649122,5.977755,6.48649,5.764735,5.678992,5.562173,,
329,4.650836,5.979106,6.489756,,,,,
330,4.648986,5.977172,6.489239,5.7683,,,,
331,4.644251,5.973171,6.485756,,,,,
332,4.638401,5.969457,6.481402,5.761878,5.675672,,,
333,4.633965,5.969236,6.479007,,,,,
334,4.633176,5.974723,6.481021,5.759647,,,,
335,4.637285,5.987041,6.488858,,,,,
336,4.64621,6.005719,6.502436,5.773688,5.687128,5.570418,5.469791,
337,4.658673,6.028982,6.520341,,,,,
338,4.672742,6.054435,6.54045,5.801525,,,,
339,4.686483,6.079418,6.560696,,,,,
340,4.698756,6.101814,6.57958,5.832845,5.745361,,,
341,4.709477,6.120884,6.597023,,,,,
342,4.7193,6.136823,6.613377,5.862451,,,,
343,4.728988,6.150337,6.629051,,,,,
344,4.739001,6.162542,6.644208,5.890588,5.802777,5.681849,,
345,4.74858,6.17347,6.657732,,,,,
346,4.755845,6.181648,6.667065,5.910888,,,,
347,4.758485,6.184446,6.66946,,,,,
348,4.754321,6.178196,6.662249,5.906942,5.819376,,,
349,4.742484,6.160572,6.644371,,,,,
350,4.72379,6.132402,6.616969,5.869336,,,,
351,4.700742,6.097313,6.58339,,,,,
352,4.676633,6.059941,6.547961,5.812573,5.725768,5.607698,5.5062,5.483179
353,4.654809,6.024633,6.515307,,,,,
354,4.637721,5.994623,6.48883,5.763511,,,,
355,4.626537,5.971659,6.470245,,,,,
356,4.620849,5.955911,6.459252,5.738204,5.651781,,,
357,4.619407,5.946762,6.45449,,,,,
358,4.620387,5.942676,6.453483,5.733306,,,,
359,4.622292,5.942096,6.454326,,,,,
